RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1727.9809082523038,1740.5200837471707,1757.3467645185256,1772.091011853461,1788.496302966514,1799.2913443768318,1812.2834417345057,1822.0226309858447,1834.828178655762,1839.958456626318,1846.608604742903,1853.6942965050985,1865.0342871914977,1877.3751603311734,1891.7524337594507,1903.0833411777642,1916.7988251301263,1927.0403354147707,1940.5890360400153,1947.7738863906734,1953.5747827739717,1955.161017971677,1955.6662143965962,1960.3393711009237,1974.9175314081167,1992.263868449389,2012.941891,2025.6127890079322,2040.7340766868465,2050.451846979677,2062.2761979280795,2067.878191395929,2073.0835681982694,2074.302102,2078.8551702718846,2084.4787780072174,2095.3880514248526,2109.7886338025914,2120.412321,2130.370767384131,2138.5513925945893,2151.858079952715,2163.9649966953043,2174.1431601625513,2178.629786,2182.450635141563,2187.0433627512143,2192.183194245394,2197.8348046817564,2202.4183069057067,2216.2546441305158,2228.3464241421307,2242.2296719741053,2251.0338449474093,2259.387448494519,2265.217076660221,2268.9606029834094,2270.149961829146,2271.410422610363,2274.2681682671678,2280.3514828701923,2285.095413521711,2285.0433136352267,2276.9059467843563,2269.1620053923775,2265.307717131317,2267.1320448281754,2266.1377423724057,2260.9295812126115,2255.5889115498608,2253.4390961640884,2251.566367400816,2257.8595949938767,2264.4721510779873,2275.970573,2285.6467140177533,2302.976542272348,2333.3391046861657,2370.5679537970436,2412.842043649634,2444.4463457062375,2466.0517047368767,2477.497711134682,2495.3001287662455,2513.7548821737923,2540.048228,2562.360687261634,2589.9576989275806,2612.193338364093,2632.6419465646904,2652.320664454959,2669.163345359147,2679.5244755028557,2677.2465833487545,2672.9198838077023,2668.4143355334513,2670.778104843249,2677.794372400903,2692.320891780726,2702.6440227188737,2709.572957225404,2713.408400599604,2719.594002488714,2726.4753242701836,2727.793563626478,2724.916384,2716.1680249869987,2710.723961524249,2714.7251184376646,2724.070263,2737.919814242199,2748.924726034527,2761.0403142032246,2770.8190741011845,2781.2236714136225,2786.0113986280985,2792.7416316677923,2792.6114501180323,2792.4629450374055,2786.616950625025,2811.7287785386065,2834.6425409130457,2858.690045253127,2851.574843806709,2852.6009858991797,2853.816817271458,2857.473585,2858.509729658233
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1448.728086781128,1457.8028979687024,1468.9010233703302,1478.2987010232528,1489.5072084818912,1500.2305287886422,1505.8387806944083,1509.0678555623251,1503.709348914927,1495.4762769893393,1485.5652851871253,1485.096971701176,1494.4432783031134,1507.0185019648857,1519.4369841781302,1527.3924174295407,1535.6707785497067,1544.6445551732113,1551.9951903739538,1557.056066960882,1550.0264361298252,1538.7738097654142,1523.7250255332128,1516.9115396833677,1523.2227058650892,1539.286811860564,1559.4498046623469,1573.689310844332,1585.2969159602487,1591.649883393851,1593.7542229946837,1588.8709369672129,1581.4900494848898,1568.351539712399,1558.6684392344719,1555.990228431358,1565.495142132065,1579.8793867269135,1592.8038001867908,1603.6917027799525,1614.296381307016,1624.6476652972594,1630.328249362056,1627.587235134469,1614.831188920098,1600.7605590130174,1591.1131487023094,1591.750174,1601.6373036189102,1613.9707695940403,1631.7204960618733,1645.6952451829843,1658.7198382256722,1665.806446266048,1668.9725929158817,1669.4005349505203,1664.1919750781014,1657.0160186398768,1647.9509692474733,1641.5138869184482,1650.376458220362,1662.9738878317412,1679.0014307506692,1679.6682575454079,1678.077042353694,1674.4226204587824,1672.05203,1663.384986712866,1644.4149696364889,1617.4436743273309,1594.585545645074,1586.1887692231412,1588.6932342501577,1601.930678634509,1619.8405685487267,1647.9627098834433,1676.4713961266527,1702.6389337726887,1720.7371939869167,1732.0364231624453,1736.371371098424,1733.8268063458354,1731.5112613160786,1736.3680175966965,1751.7419840814696,1769.885819370963,1792.3926259998352,1816.623134127233,1843.3775845319792,1864.2803607380838,1880.324050162526,1887.3386543226281,1886.293469573315,1880.870246156933,1875.7755071613813,1877.4299226921314,1886.0326182640279,1901.3768670766035,1920.0158928675767,1939.6199127239292,1962.041632049422,1980.4228335591356,1992.0490904679912,1997.2040002988633,1991.5688852328722,1980.7222539214977,1971.1371722718325,1972.9555614140786,1984.046680303461,2000.9204140573058,2017.708372346104,2039.0661820370956,2056.6055000473525,2073.049692755338,2079.8875399540466,2080.1517603312377,2075.3746347523725,2073.1072848318354,2073.662655,2079.083341,2088.660100972859,2107.5107526159454,2129.3580532144024,2153.494814784122,2175.6954950954296,2196.5374414041507,2208.031326474652,2211.740989649022
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1187.757431764141,1190.8978945310023,1196.539234225509,1207.0578049150995,1216.750739362465,1225.5215441986163,1225.646614827262,1227.0310944564392,1225.3977685523303,1223.6292937511157,1220.504270184067,1217.5822900640496,1218.6469195374661,1220.5432233037434,1227.2221363510973,1232.4563599367737,1235.6513109920113,1235.9518106713165,1234.832956287361,1232.3856234686305,1227.4212048276784,1224.226126556753,1218.8298388317007,1216.3127247547732,1216.6430914896744,1224.6424780632053,1233.5094455785531,1237.8558071224506,1244.8863814165504,1245.9407391691218,1246.7451151859723,1241.8235642207794,1248.6115036876618,1257.1539698330766,1269.093133028229,1276.011746,1278.2031063710222,1283.6064805842109,1284.4335715700736,1292.8499358944196,1295.5117241286691,1300.6392315570838,1299.7373582104829,1297.7645069845028,1294.0377253143029,1294.388852374666,1296.6441073100573,1296.45857,1296.2769479438525,1293.4380583005436,1299.833743333289,1305.511071686673,1315.903618765878,1322.761777433486,1326.7051039296464,1326.4385213402038,1322.8286145827262,1321.7726558349345,1320.6287928443476,1324.044973723973,1326.8429536069104,1333.1076205033903,1339.1692461507384,1335.9928916986837,1330.7192615450783,1325.2726251621034,1329.4890251418753,1333.2592037484242,1332.9278276024604,1333.462067412748,1333.5346114523081,1332.9994832250013,1335.9430222298438,1338.4677196347488,1346.8922906816617,1359.1528120946866,1379.048809257375,1405.872992195196,1429.8715607769798,1451.7995632307798,1464.330541911219,1471.8410953886762,1475.808677750386,1478.6232437524923,1483.9474262572858,1493.373571220495,1503.7101392322736,1515.2915430526875,1526.208023136187,1541.039781706338,1553.2957151848998,1560.595864898168,1558.6282876128585,1552.7887188967284,1545.2680768026341,1543.4647779496424,1547.1829542686935,1555.076572363269,1565.9307783980664,1571.0671563719034,1579.0524770395496,1585.6519944280183,1592.1362400631908,1593.9977615296198,1590.507214028666,1586.6740838031596,1582.0712793450116,1580.9906277563614,1583.0132295633562,1587.5150216716834,1590.6790278708618,1597.0323106711157,1604.2013355569406,1612.0171903723422,1615.473749550004,1619.019724789688,1620.9633269458352,1622.0110623765258,1620.0967428587103,1617.922672537244,1618.6862646100374,1621.8491066313463,1630.7410368682097,1634.8242936346032,1635.4305398871334,1626.506034530691,1626.1927680387216,1625.1159376157595
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,935.7929296030051,950.9277320906593,958.1508397678324,971.2466056538904,971.6365461156886,979.6095677461966,979.7520797947898,981.0093926052951,983.9522524939767,986.4931727,990.3560266885672,992.0482462488616,997.4452312,1002.2943987567852,1009.1268150070752,1016.1876838278282,1023.9778140977407,1031.2319485286494,1035.2145496692176,1037.225327962998,1038.0135475993475,1037.6940507736742,1039.6083412250555,1040.4723545184227,1047.3822346965198,1055.0499871847996,1066.9435812304384,1076.2392586776682,1086.2846366530441,1092.4322168568683,1097.4024476850077,1099.495965590447,1102.2872298769453,1103.9926477992058,1107.0601441585889,1109.18758,1114.2637217490915,1120.1060914865611,1132.4924146509386,1146.0088390499893,1157.5659462040824,1165.817725415711,1173.0411001456387,1178.7123852588493,1183.8934009077739,1187.3390240434376,1193.1246390481683,1198.6929937426144,1202.8767010181512,1211.848242474364,1222.2079696975222,1237.6025936473754,1248.997868380344,1259.6730498225604,1267.4406106108124,1274.2715000377584,1278.6669368218024,1281.9872860650885,1287.2803726250045,1295.1136346439928,1304.477992649456,1314.7337668799112,1321.0151714884264,1321.3737515349162,1320.1914462110076,1324.1412237331347,1337.7294088841745,1353.9408724138734,1369.6090085082099,1383.7397992890687,1396.932475,1407.4773966728026,1419.7679165572915,1432.8796657858604,1455.1109815935592,1483.0238289491888,1522.4681567334628,1567.8753633769616,1616.6390175615215,1659.9079260933852,1691.436624235725,1713.1642838717573,1725.2377665665133,1734.7790203349057,1743.3727214844978,1754.3375364599713,1768.0599497948285,1779.7601778012613,1788.143171024287,1794.6010521394667,1799.4329494843505,1800.1651636558713,1791.855373162726,1780.817935660931,1770.0709453533766,1765.8135905422394,1762.7377169759616,1767.9193147886324,1781.0235800471864,1788.1428510237292,1791.580435711738,1788.2135424520786,1792.6325177567223,1792.6821521477873,1789.4388873863122,1780.4043866282666,1771.5854892435077,1765.3142555627805,1767.670830670484,1776.0649800238552,1784.7702780380157,1791.9568291135693,1795.903341532567,1798.0158293583045,1798.9751441038652,1798.3478162151785,1797.4218623702263,1790.5236704020394,1783.420339,1777.0750478200487,1779.6263148873459,1788.4687739480223,1796.7657958479658,1799.5981532724534,1796.2184802295462,1793.2458200750737,1790.3411562255715,1785.5401615956782
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1675.8797956375267,1687.2656293337566,1696.4669425922682,1700.1972320748002,1711.0000663324317,1719.3989884476198,1736.0383121239265,1747.0911140883904,1755.705316321178,1759.3852805748816,1757.1472146951194,1763.9284793208708,1769.050107431412,1778.9720607621364,1787.8955824415104,1798.5679417883805,1811.286178767892,1826.1636038552429,1838.6396755698852,1846.7876172661543,1849.8052731371456,1851.4153666459888,1851.9565507552236,1854.4468669715154,1861.3776030991933,1877.5597260943507,1896.645465921747,1915.6796725458753,1931.2566425054843,1942.6968904828939,1954.2733255275718,1960.5306144568906,1963.8288978956352,1963.618872975286,1963.9495914168174,1965.823926541765,1975.8789036170438,1986.9506789275424,2001.8503781176707,2013.695749340228,2030.352952124234,2041.6142530963116,2052.5533868253547,2059.7076490124655,2064.4721978367547,2063.944301446918,2058.6353210838297,2060.787803351243,2065.5403126835736,2073.4149940007337,2080.4110274980044,2090.3106693186937,2103.1812744335843,2115.1944236107597,2127.606443580183,2135.1730990043347,2137.027227421539,2136.769528844072,2137.3456649251066,2141.1236565135855,2145.7818772387977,2150.6119433501703,2154.4472226491566,2146.684813683171,2140.5964726508737,2139.269871450496,2150.425006163792,2159.625934000544,2172.667545919724,2188.544545193388,2203.3607011080717,2213.5593418129265,2220.6241411803667,2231.933312564235,2249.2093466078195,2277.103948394009,2314.296421041294,2353.206272931975,2403.4355744405166,2455.803173028134,2510.982083561584,2544.2627792733174,2566.723985540091,2581.765503179214,2602.110431815124,2629.295741934916,2660.8153644804206,2703.881938943256,2748.2786325260254,2794.811892025911,2826.800182103904,2853.174324937582,2857.6100441947933,2851.5879548277726,2831.8713510454963,2821.877420956149,2817.062756,2826.139787,2851.5574658267096,2881.1848535830986,2914.6747749133415,2935.7763783956207,2953.4988430669573,2959.8438404165086,2958.1226561086874,2944.4282465336646,2921.8117671335453,2901.9913480841856,2894.540030047659,2904.3362442261314,2921.662653567128,2941.9136711957995,2959.2287796075757,2976.023492638435,2987.318595812566,2989.7250112827983,2990.023844465172,2989.547865993862,2990.6609232430264,2984.2963172355617,2986.6967028468357,2993.1061781142585,3009.659282607957,3018.052004188143,3027.3119193335483,3036.1848331151823,3041.514981129946,3048.081055358581
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1905.7864115074588,1915.1909390519781,1926.1517288526281,1941.530160985322,1952.4523300853468,1966.666738912157,1977.0934058867729,1990.287788,1992.482023228247,1997.1390315811755,1995.6734138219997,1999.0597904589536,2004.0575019723076,2011.9758048723913,2018.0479830643976,2027.3511382185184,2042.2029785638777,2059.8464007309963,2069.442569203519,2071.8802234337873,2074.4283857900414,2070.806414770584,2076.7321615706505,2071.132705,2082.4917438233647,2094.7679079795853,2119.481747656423,2137.6966047285628,2145.253412,2155.7633186744947,2161.198391666593,2168.892464175976,2170.5543065750912,2166.8188305862273,2169.803006831168,2170.994614466615,2182.614456419481,2187.142908128969,2198.8681218219144,2206.167782406191,2214.160639997502,2221.5917960075967,2226.956640194938,2229.7194678080564,2230.802717696515,2233.9549621361766,2237.2823244141096,2238.0777950070096,2241.304612104028,2247.815612973488,2259.3035253907883,2265.2262517624586,2278.6196574090654,2287.2413427795805,2298.393321998269,2300.162856752016,2300.715887394719,2301.353558694629,2306.124165463408,2308.8787431370743,2317.125588186925,2323.525733176715,2328.237434925066,2313.466041961015,2298.78012,2291.3234813766135,2298.4203579455784,2306.209763728865,2319.104906766792,2333.5825930873716,2342.0224860649214,2349.8299849171917,2363.3631550351142,2384.7077598776855,2407.8802882410864,2428.0593798897266,2456.2186034294646,2502.5620857488425,2573.6986861471155,,2732.664978493435,2773.076051127722,2795.403538198333,2807.2286027259584,2827.4672811864534,2848.080627892229,2877.533459015514,2912.6624299587684,2944.0247458506074,2973.0266390915986,2991.5124398484772,2999.8030155706256,2994.0365222699675,2981.2917893185736,2972.1091813159383,2957.088266,2947.5837720767395,2944.379137186032,2957.0784944504508,2970.868912692634,2987.247876433943,3006.476013165423,3040.241751686727,3067.274273909046,3080.211890209884,3079.024155168608,3069.4419627427887,3069.649864346042,3066.760918,3071.3828090154916,3070.3879503111493,3077.4521543574274,3088.8558625793294,3108.1735443042235,3129.7072028184866,3146.195146,3151.956461024933,3153.643567698909,3146.856170654625,3143.161517,3149.5714895240967,3165.164626161014,3185.1565032738613,3195.888860753521,3205.4739528636173,3217.0598345889625,3219.541585299972,3227.5387854420355
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2358.958950235956,2378.217835911029,2405.7319594494147,2425.389797354762,2448.7216647933005,2478.503306496591,2496.6870271759017,2506.156965517633,2521.119927724217,2530.5995081743245,2523.6627631851943,2498.2676880192644,2486.5571971837117,2487.6030481780867,2503.2007331541854,2509.7701740058537,2521.4564262313083,2533.571756702232,2552.8555724058892,2568.886931848892,2575.4596212636948,2572.071867743556,2573.988416686521,2561.738585882359,2549.440689010104,2538.647512615091,2542.903222890944,2560.350580153554,2573.510138307949,2590.231501358168,2607.1736943786696,2620.1237425334944,2620.0924646986823,2602.651705181379,2583.2303832027255,2570.2873472423066,2569.6467678617287,2571.180937435161,2585.0174645712646,2603.3870004970277,2623.3511329370676,2638.427670457783,2649.341947,2659.6976818502862,2662.090624075233,2653.127441406257,2638.8550606576932,2621.037474174676,2622.846649,2636.536888551492,2664.817825,2684.5030596643473,2709.644682950554,2725.6236004558664,2750.5486576808757,2766.488481,2782.1272520520247,2785.3519040547185,2781.6627720659576,2773.593501973862,2773.2250381536483,2782.3955113808306,2798.485509051944,2791.666838690955,2773.5469741550864,2741.039994069705,2717.858886291368,2679.8035666102905,2631.498856331669,2584.2382439189314,2549.0495026850576,2529.9986467828403,2522.058759895659,2531.350832574233,2553.574275399671,2587.6809781418037,2628.0292542095594,2681.499079361075,2739.079399574674,2795.5575655192383,2843.424153,2870.3638202817438,2892.1993223534046,2904.093526473973,2937.515178446041,2974.588319843396,3026.4576634839696,3071.7195814563147,3134.138675792182,3198.754324749378,3260.7859712733307,3301.559875825408,3312.6206426996328,3304.3469366631975,3265.088414228754,3232.0743154958213,3222.8613419397425,3236.7800279797566,3262.796438833073,3292.093825247903,3330.933705953689,3371.7942193662225,3401.861332585299,3419.3782458583637,3426.4452569944397,3409.0285179517773,3372.286939261081,3344.078474162085,3342.036922303485,3368.2143309703074,3398.994381,3429.233235674405,3464.7892802773526,3499.631849770401,3526.3097278361315,3531.651019332642,3521.1240244090036,3501.1166288223285,3473.1827492010457,3441.974418,3431.555094394094,3457.8809364612284,3505.8995792023975,3556.3890430125607,3592.8028593237786,3637.9118616058363,3671.8764420454413,3698.150953140291
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1625.1334385081375,1635.2002812119258,1647.0993207750378,1658.2827513626844,1668.8346318297063,1676.572429553393,1684.6011081699867,1691.5869624606064,1699.3387623243739,1700.7903710094477,1707.2954475774952,1712.8698064692169,1719.8569503690444,1722.904684569568,1725.0120034013744,1725.3591327638705,1725.2585153654761,1723.1480722865713,1723.741507032412,1720.045620648524,1719.888582785827,1717.1371331444304,1715.1132420161953,1708.9976417423302,1713.4256166328248,1719.4170146127417,1730.8082701609615,1732.600763,1736.0903221543742,1737.2719581932372,1738.2562211770457,1740.6875411839044,1743.6304776949355,1747.4388066818192,1746.9741966809888,1747.1851864683472,1749.4125332032713,1754.1018786571685,1759.1461194442982,1765.0807389404144,1768.6800018889235,1774.414600298022,1778.060026482278,1784.0711015264374,1787.0067242717173,1791.9565656533596,1793.1218649917555,1795.0437120539998,1795.2485240560886,1793.898407863187,1797.472055785673,1801.6443755181767,1810.159205587628,1813.525329191128,1814.4349532402905,1815.4454316714637,1816.815891249812,1825.548500835984,1835.6249261807552,1845.1333653054517,1847.7914621682232,1850.2688024175761,1849.4383898962496,1840.4763057058897,1827.9811654074795,1821.9915589889702,1824.6938023801101,1825.1157807959946,1822.027777080848,1826.4991631482008,1841.1247340950677,1860.0272041872076,1883.3832328242047,1918.3457394240413,1955.2858056665982,1996.7314831441743,2038.783819515359,2093.886634325397,2159.8654970193843,2221.5668450295802,2277.3223694475028,2320.780327734418,2365.6039658130403,2418.720235,2464.6113446701943,2524.9863172407354,2580.1465536373116,2644.240058984024,2691.313240772009,2724.621832795628,2749.517329167673,2759.6323955400103,2768.6876033567896,2764.839391485461,2762.0235219577417,2762.4817373357414,2765.2657120068047,2773.5766955729414,2784.8488745420186,2797.8770003817176,2802.3376635986847,2800.344688415064,2795.4479310583583,2792.0638595588393,2788.376807,2790.6017407053623,2793.9516233004474,2792.027466639695,2792.696178018407,2802.3051346642487,2820.7719911949057,2837.362841235126,2846.7190614843526,2849.779599458982,2850.9538977030884,2851.3117306528584,2856.0903182470884,2859.2365590450404,2859.9922592850535,2859.837406099704,2864.6935703913086,2871.8165214895157,2877.793788406324,2879.7361536913463,2883.2056769540536,2881.9432718581797,2878.7423190213267,2867.150356848313
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1057.1724295938675,1058.9768233223426,1066.26283,1081.2821199736786,1094.3785106119412,1104.1713679586362,1111.925703380237,1115.0871195914142,1117.5363667157876,1117.5005485845986,1121.9719615504814,1124.6020290927047,1128.4795245604685,1133.6706799519031,1141.5254789333424,1152.3138128432302,1160.0447812643836,1170.401152665247,1174.7902687217443,1178.954241,1178.083067776787,1183.5016495448153,1186.0441412438445,1191.1167508338767,1197.4069412125198,1201.9990395597722,1213.0120901229434,1221.0119292103193,1234.5210079273795,1240.3355574499933,1244.8581216760006,1244.4618807627237,1243.9950530086505,1241.8871492219998,1250.0505852022634,1253.2733281677265,1257.4753809254837,1262.959839279828,1265.9978489711564,1270.6763499206272,1270.6654767631337,1283.038961024888,1288.9050967021572,1292.6038543815346,1285.6441145417882,1287.3169458936936,1289.4509689032075,1293.1943559557296,1298.4470099113157,1300.731127650264,1310.7361494700294,1318.2187690631908,1327.2918742442796,1338.8267138940423,1341.3197756276763,1344.7244324464907,1342.6615543615712,1341.7359227358984,1337.465907119532,1331.418294018897,1334.9242620115783,1340.8869797942875,1347.9773272159048,1346.3177879895259,1343.3284327720903,1342.035660779891,1343.4878590355797,1345.9049788711693,1347.9232721048859,1350.2751705786661,1349.5958357050695,1352.5630729665638,1357.5840321605026,1369.1013921759156,1378.33179,1395.8967691264265,1418.5145788259117,1450.5925768336685,1484.3854357694122,1515.7015821147445,1539.0071501038872,1551.168822725596,1559.1386755197889,1566.5540769376219,1579.1033746151822,1595.364491282445,1607.970846650917,1627.6908217726962,1649.6029280949174,1683.9257901170474,1705.8684372244672,1714.260687977381,1707.6503986403354,1690.670300593723,1678.5780169706698,1667.7284503003546,1665.7687003592655,1666.9844433538383,1676.7535186035218,1683.7774375601184,1691.4866657823861,1695.5312670555022,1701.775236,1702.450368692165,1698.5427234057872,1690.0597071093853,1682.3895650823554,1673.5151479276665,1670.3878175823736,1668.5108451596288,1669.4798494037077,1673.106306582605,1679.1103225210056,1687.9632138798008,1695.3316192994841,1698.963311603389,1695.1130302642127,1690.5938807651585,1688.155991526175,1685.6937636540874,1682.5996238289722,1683.5006158829417,1689.8721582690127,1700.3823801841947,1703.3789735739454,1706.030578793831,1703.354155668942,1699.8558311631143
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1369.4365382939309,1372.975501857726,1375.0645831861007,1382.8459925520615,1389.6862779568755,1400.5026052518194,1410.3709874440647,1415.8726751238855,1422.581412,1429.4903104903772,1434.654023765733,1439.4573368688223,1439.5748359199554,1448.8520389034315,1451.502290645155,1452.339753473477,1456.5654472922338,1460.9490259103945,1473.1034758964877,1477.9293301570258,1491.7231320558087,1493.5177129828626,1500.892057,1499.3685,1515.5327063435795,1525.414793645791,1537.936098539278,1548.2398858900397,1558.0453107340952,1570.0571914063812,1577.411888920779,1588.6549355348839,1594.7145810108511,1600.0961238650711,1604.7825610975651,1606.9717821244842,1614.672268384413,1625.1538965711463,1637.5061523855684,1641.2707869568915,1643.4723725593974,1650.5808861779633,1661.7141443424212,1672.9242838006046,1683.7626427939206,1695.3122354883371,1702.0666782837375,1708.426480620834,1708.1223170591998,1709.5059905957755,1717.0525354340962,1727.7113955031682,1740.0685418258497,1746.3532790811992,1757.0521907114291,1767.1937304259968,1773.0493603248171,1778.6805540711564,1782.0543173949807,1788.3794035049873,1792.0408990007868,1798.9735781461134,1802.0967093578965,1798.4701443456097,1793.773022369244,1805.4790210954607,1827.410640804421,1858.8261456679893,1885.3897708858121,1912.5868873412796,1935.851413791017,1958.047802993904,1980.999217514968,2003.4877590414958,2028.7911498275334,2045.5662742532736,2082.0815742100654,2119.2379381610117,2174.0502118867316,2217.9333444378262,2257.578089953035,2279.231541855141,2298.099510529277,2301.987261851309,2323.878784042845,2338.549361322226,2372.2685848818683,2397.9463311917766,2418.5637219974947,2438.0649187254267,2450.195936819859,2460.2040117948736,2466.860174317181,2461.8402714213794,2453.0574783879733,2444.3291259234416,2445.8044525153305,2454.720853,2464.7777960742965,2472.0275317715245,2477.0608472290232,2474.629629413791,2480.396905413836,2491.895873997719,2499.7167178778686,2512.8465088252474,2507.7250789841064,2508.544824939595,2500.7347772053963,2516.4764764698284,2527.913587533442,2540.715793969106,2547.2264674985977,2550.0834045757224,2563.854359858509,2569.7181810687043,2589.1450716146755,2590.8340638170394,2591.4351235917693,2599.063758212322,2615.1881592534473,2624.950758918265,2619.9548357298186,2616.2466175691266,2624.6884677569083,2628.2854298778616,2627.0103405384307,2625.9595510374006
